2,Adventure in the Himalayas,Nepal,2025-06-01,2025-06-15,1500,20,Active,3,338
3,Cultural Heritage of Egypt,Egypt,2025-07-01,2025-07-10,1200,15,Active,4,339
4,Religious Pilgrimage to Mecca,Saudi Arabia,2025-08-01,2025-08-14,3000,30,Active,5,340
5,Luxury Beach Getaway,Maldives,2025-06-10,2025-06-20,5000,10,Active,6,341
6,Eco-Friendly Safari Adventure,Kenya,2025-05-15,2025-05-30,2200,12,Active,7,342
7,Relaxing Beach Vacation,Thailand,2025-06-05,2025-06-15,1800,25,Active,8,343
8,Mountain Trekking Expedition,Switzerland,2025-09-01,2025-09-10,2500,15,Active,9,344
9,Family Fun at Disney,USA,2025-07-10,2025-07-20,3500,20,Active,10,345
10,Romantic Getaway in Paris,France,2025-06-20,2025-06-30,4000,8,Active,11,346
11,Wildlife Safari in Tanzania,Tanzania,2025-05-20,2025-06-05,3000,18,Active,12,347
12,Historical Journey to Rome,Italy,2025-08-15,2025-08-25,2200,12,Active,3,348
13,Mountain Biking in the Alps,France,2025-07-15,2025-07-22,1600,10,Active,4,349
14,Pilgrimage to Varanasi,India,2025-06-01,2025-06-10,1800,20,Active,5,350
15,Luxury Cruise to the Caribbean,Caribbean,2025-06-25,2025-07-05,4500,50,Active,6,351
16,EcoTourism in Costa Rica,Costa Rica,2025-08-01,2025-08-15,2200,18,Active,7,352
17,Trekking in the Rockies,Canada,2025-09-05,2025-09-15,1700,12,Active,8,338
18,Family Vacation in Dubai,UAE,2025-07-05,2025-07-12,2800,25,Active,9,339
19,Romantic Getaway in Santorini,Greece,2025-05-10,2025-05-20,3500,10,Active,10,340
20,Wildlife Adventure in Botswana,Botswana,2025-06-01,2025-06-15,3000,16,Active,11,341
21,Luxury Cruise in the Mediterranean,Mediterranean,2025-07-01,2025-07-15,5000,20,Active,12,342
22,Pilgrimage to Jerusalem,Israel,2025-06-20,2025-06-30,3200,15,Active,3,343
23,Cultural Tour of Greece,Greece,2025-08-10,2025-08-20,2500,18,Active,4,344
24,Beach Holiday in Bali,Indonesia,2025-07-05,2025-07-12,1800,30,Active,5,345
25,Trekking in the Andes,Peru,2025-08-15,2025-08-25,2200,12,Active,6,346
26,Family Ski Trip to Aspen,USA,2025-12-10,2025-12-20,3500,20,Active,7,347
27,Luxury Desert Safari in Dubai,UAE,2025-07-10,2025-07-17,4000,8,Active,8,348
28,Eco-Friendly Trekking in Nepal,Nepal,2025-09-01,2025-09-10,2000,15,Active,9,349
29,Pilgrimage Tour of Bodh Gaya,India,2025-06-25,2025-07-05,2100,12,Active,10,350
30,Safari in Kruger National Park,South Africa,2025-07-01,2025-07-15,2500,18,Active,11,351
31,Cultural Journey through Japan,Japan,2025-08-01,2025-08-12,2300,15,Active,12,352
32,Luxury Travel in Switzerland,Switzerland,2025-09-10,2025-09-20,4500,8,Active,3,338
33,Historical Tour of Egypt,Egypt,2025-06-15,2025-06-25,2700,12,Active,4,339
34,Mountaineering in the Alps,Switzerland,2025-07-20,2025-07-30,2800,10,Active,5,340
35,Beach Resort Stay in Fiji,Fiji,2025-06-01,2025-06-10,2400,20,Active,6,341
36,Pilgrimage Tour to Lourdes,France,2025-09-01,2025-09-10,2800,15,Active,7,342
