3,Adventure Tours,03011234567,info@adventuretours.com,Mon-Fri 9am-6pm,4,Tour Operator,Imran Khan,338
4,Explore World,03112345678,contact@exploreworld.com,Mon-Sun 8am-8pm,5,Travel Agency,Sarah Ali,339
5,Holidays Pack,03212345678,bookings@holidayspack.com,Tue-Sun 10am-7pm,3,Tourism,Ali Aslam,340
6,Luxury Travels,03313456789,support@luxurytravels.com,Mon-Sat 10am-6pm,4,Luxury Tours,Ayesha Khan,341
7,Wild Expeditions,03414567890,info@wildexpeditions.com,Mon-Sun 9am-7pm,4,Adventure Tourism,Zahid Mehmood,342
8,Cultural Journeys,03515678901,info@culturaljourneys.com,Mon-Sat 8am-5pm,4,Cultural Tours,Farah Shah,343
9,Pilgrimage Trips,03616789012,contact@pilgrimagetrips.com,Mon-Sun 8am-6pm,5,Religious Tours,Tariq Jameel,344
10,Eco Explore,03717890123,hello@ecoexplore.com,Mon-Fri 10am-5pm,3,Eco Tourism,Shazia Baloch,345
11,Mountain Trailz,03818901234,support@mountaintrailz.com,Mon-Sun 7am-6pm,3,Trekking,Hassan Raza,346
12,Water Adventures,03920012345,info@wateradventures.com,Mon-Sun 9am-8pm,4,Water Sports,Mehmood Akhtar,347
13,Historical Journeys,04456789012,contact@historicaljourneys.com,Mon-Sun 9am-6pm,4,Historical Tours,Amina Khan,348
14,Nature Walks,05011234567,info@naturewalks.com,Mon-Fri 9am-5pm,3,Nature Tours,Fahad Malik,349
15,Mountain Adventures,05122345678,support@mountainadventures.com,Tue-Sun 8am-6pm,5,Climbing Expeditions,Ahmed Raza,350
16,Desert Safaris,05233456789,info@desertsafaris.com,Mon-Sat 10am-5pm,4,Desert Tours,Khalid Shah,351
17,Tropical Expeditions,05344567890,info@tropicalexpeditions.com,Mon-Fri 9am-7pm,5,Tropical Tours,Sana Ahmed,352
